"","sample"
"1",10.2047009198255
"2",7.09182166211104
"3",10.793294216721
"4",9.83454609965862
"5",7.16475388590768
"6",6.58976580794099
"7",7.24371452621424
"8",10.2706636679819
"9",7.28789067582675
"10",6.84730580642182
"11",7.75589058422542
"12",7.19492161820572
"13",6.6893797097291
"14",9.31489606122627
"15",7.56246545907155
"16",6.97753319549238
"17",9.84562971538719
"18",9.37335512219615
"19",7.41061059754904
"20",9.97764543155301
"21",7.45948868580411
"22",7.39106815036553
"23",9.68484983303593
"24",9.8295157100698
"25",9.42171381868207
"26",6.9719356302355
"27",6.92210224664734
"28",6.26462380805036
"29",6.76092497244569
"30",10.1315878232027
"31",7.67933977576452
"32",8.55553966416023
"33",9.67975914871744
"34",10.2852538179602
"35",6.3114702215857
"36",6.79250271835016
"37",6.80285502314483
"38",9.40677068071026
"39",10.5483885221371
"40",7.38158787422877
"41",10.353655333699
"42",6.87331915993175
"43",7.34848168770237
"44",7.27833159933683
"45",6.65562215272524
"46",6.64625242151894
"47",7.18229098106842
"48",7.38426646225771
"49",9.9169394816175
"50",7.44055386322711
"51",10.0681109465514
"52",10.2035838017119
"53",7.17055984571221
"54",9.87616782919033
"55",7.71651185085052
"56",7.99019994925293
"57",6.81638926176675
"58",10.2863697776229
"59",7.28485981372121
"60",6.93247269805959
"61",8.20080888025239
"62",6.98037999863342
"63",7.34486968122539
"64",7.01400107939033
"65",6.6283633955588
"66",7.09439614975717
"67",6.09752068555448
"68",7.73277743078144
"69",9.8344835105605
"70",8.08630583518108
"71",7.23775476444983
"72",10.1971895841108
"73",9.57407145398807
"74",6.53295118417787
"75",6.37318329988045
"76",7.14572311775873
"77",6.77835406339078
"78",7.00055267581581
"79",9.34187741977422
"80",10.4599018388046
"81",6.71566563359075
"82",9.79623571036511
"83",10.6621293150886
"84",9.64938416537654
"85",7.29697309381421
"86",9.49946390948729
"87",9.6659106966233
"88",6.84790803818285
"89",7.18500940495814
"90",7.13354939538612
"91",6.72873998450418
"92",7.60393390299159
"93",7.58020130784748
"94",7.3501068247575
"95",7.79341672727042
"96",7.27924321278265
"97",6.36170389577098
"98",6.71336729288156
"99",6.38769369255082
"100",6.76329968178034
"101",10.4468368512128
"102",9.47635092546935
"103",6.54453917572378
"104",7.07901438620204
"105",6.67270767804059
"106",7.88364363468632
"107",7.3583537380086
"108",7.45508711474761
"109",7.19209267891317
"110",7.84108804025971
"111",6.68213177302551
"112",10.0495392434486
"113",7.71614111927083
"114",6.67465182334482
"115",6.89630962819902
"116",6.80359603527901
"117",6.84000356572575
"118",9.93949494433628
"119",9.35292999808958
"120",10.2471564180074
"121",6.74702126894287
"122",10.7485205047014
"123",10.4073513654487
"124",6.91022173497831
"125",10.2410147520619
"126",10.2280678016506
"127",9.82329985708505
"128",6.98118291426648
"129",6.65916976062217
"130",6.83786486387684
"131",7.03008022021726
"132",9.21545890742802
"133",7.26574809631629
"134",6.24080295910661
"135",9.83285931763442
"136",10.3663750211046
"137",10.4732928200989
"138",6.7358600477775
"139",9.82383884722508
"140",6.9715516110763
"141",6.04282028715999
"142",9.46827129225859
"143",6.167513781894
"144",6.76823479926381
"145",6.44203994747858
"146",6.62459049940328
"147",8.04358327281417
"148",9.9043605247324
"149",10.4016416080668
"150",10.9437372316543
"151",7.22509355063633
"152",6.99072008364268
"153",6.84096581272808
"154",9.90360078677133
"155",6.25626984492926
"156",6.46240385169216
"157",9.41321152956432
"158",6.68936665260159
"159",6.30778657630775
"160",7.93464531121179
"161",7.21255018868622
"162",6.88067644954348
"163",7.52924152435451
"164",7.44321132568747
"165",6.69037847588443
"166",8.10305123227023
"167",6.87248648492949
"168",10.2839759862358
"169",9.71372869803694
"170",9.31835437186083
"171",9.80563887783105
"172",7.05290118394686
"173",7.22849940271171
"174",9.96557953276077
"175",6.83299957881673
"176",6.98263698584436
"177",7.39381980281508
"178",8.03762250432614
"179",7.51369621938188
"180",10.8817760013925
"181",6.38433828922098
"182",7.49194778502669
"183",9.53839652358509
"184",6.26637498545388
"185",7.26051137132407
"186",6.92062269764199
"187",7.7322936559849
"188",6.61695900019767
"189",9.04752227720724
"190",6.53694525131128
"191",6.91144801928173
"192",7.20100588974317
"193",6.6341259134402
"194",7.41518658399084
"195",6.39595860684777
"196",9.53784361343636
"197",7.72057885342214
"198",6.49207626734768
"199",7.20598735615876
"200",6.80946197444554
